Gene,logFC,pvalue,literature_mentions,document_occurrences,cooccurrence_score,Entrez Gene Name,Location,Type(s),Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,abs_logFC,significance_p,neg_log10_p,abs_logFC_scaled,neg_log10_p_scaled,literature_mentions_scaled,document_occurrences_scaled,cooccurrence_score_scaled,gene_evidence_score,rank
LYVE1,-2.099,5.64e-10,0,0,0,lymphatic vessel endothelial hyaluronan receptor 1,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,,2.099,5.64e-10,9.248720896016657,0.0176640230713771,0.030742403247552317,0.0,0.0,0.0,0.0112184054261635,546
SERPINE1,-2.045,4.67e-11,0,0,0,serpin family E member 1,Extracellular Space,other,,,,,,,,,,,,,,,2.045,4.67e-11,10.330683119433887,0.007930785868781542,0.03794232530269716,0.0,0.0,0.0,0.011071738499430599,547
IDO1,2.082,5.18e-10,0,0,0,"indoleamine 2,3-dioxygenase 1",Cytoplasm,enzyme,,,,,,,,,,,,,,,2.082,5.18e-10,9.285670240254767,0.01459985580389328,0.030988282810392207,0.0,0.0,0.0,0.010667041863376709,548
CYP4B1,-2.012,6.31e-11,0,0,0,cytochrome P450 family 4 subfamily B member 1,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.012,6.31e-11,10.199970640755867,0.0019826964671953995,0.03707249857700601,0.0,0.0,0.0,0.009664663937690582,549
IGFBP6,-2.081,3.19e-09,0,0,0,insulin like growth factor binding protein 6,Extracellular Space,other,,,,,,,,,,,,,,,2.081,3.19e-09,8.496209316942819,0.014419610670511895,0.02573481185696429,0.0,0.0,0.0,0.009317625098343451,550
APOD,-2.068,5.05e-09,0,0,0,apolipoprotein D,Extracellular Space,transporter,,,,,,,,,,,,,,,2.068,5.05e-09,8.296708621881338,0.012076423936553726,0.02440723366310348,0.0,0.0,0.0,0.008517093203086615,551
CYP1B1,-2.072,1.56e-07,0,0,0,cytochrome P450 family 1 subfamily B member 1,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.072,1.56e-07,6.806875401645539,0.012797404470079321,0.014493132386088074,0.0,0.0,0.0,0.006182763990537883,552
IRF6,-2.011,7.99e-09,0,0,0,interferon regulatory factor 6,Nucleus,transcription regulator,,,,,,,,,,,,,,,2.011,7.99e-09,8.097453220686008,0.0018024513338140147,0.023081287778281428,0.0,0.0,0.0,0.0061308122113331595,553
RGS1,-2.03,2.09e-08,0,0,0,regulator of G protein signaling 1,Plasma Membrane,enzyme,,,,,,,,,,,,,,,2.03,2.09e-08,7.679853713888946,0.005227108868060548,0.020302370146841792,0.0,0.0,0.0,0.006121014310322558,554
UGT1A9,2.027,2.11e-08,0,0,0,UDP glucuronosyltransferase family 1 member A9,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.027,2.11e-08,7.675717544702307,0.004686373467916394,0.020274845992018124,0.0,0.0,0.0,0.0060059861915878095,555
IGHG2,-2.129,2.35e-05,0,0,0,immunoglobulin heavy constant gamma 2 (G2m marker),Plasma Membrane,other,,,,,,,,,,,,,,,2.129,2.35e-05,4.628932137728264,0.023071377072819033,0.0,0.0,0.0,0.0,0.004614275414563807,556
